date,store_nbr,transactions,city,state,type,cluster
2015-10-09,22,2412,Puyo,Pastaza,C,7
2015-10-10,22,2008,Puyo,Pastaza,C,7
2015-10-11,22,1725,Puyo,Pastaza,C,7
2015-10-12,22,1559,Puyo,Pastaza,C,7
2015-10-13,22,1312,Puyo,Pastaza,C,7
2015-10-14,22,1142,Puyo,Pastaza,C,7
2015-10-15,22,1056,Puyo,Pastaza,C,7
2015-10-16,22,1156,Puyo,Pastaza,C,7
2015-10-17,22,1285,Puyo,Pastaza,C,7
2015-10-18,22,1213,Puyo,Pastaza,C,7
2015-10-19,22,1034,Puyo,Pastaza,C,7
2015-10-20,22,947,Puyo,Pastaza,C,7
2015-10-21,22,840,Puyo,Pastaza,C,7
2015-10-22,22,793,Puyo,Pastaza,C,7
2015-10-23,22,598,Puyo,Pastaza,C,7
2015-10-24,22,1012,Puyo,Pastaza,C,7
2015-10-25,22,1050,Puyo,Pastaza,C,7
2015-10-26,22,797,Puyo,Pastaza,C,7
2015-10-27,22,791,Puyo,Pastaza,C,7
2015-10-28,22,717,Puyo,Pastaza,C,7
2015-10-29,22,683,Puyo,Pastaza,C,7
2015-10-30,22,707,Puyo,Pastaza,C,7
2015-10-31,22,980,Puyo,Pastaza,C,7
2015-11-01,22,837,Puyo,Pastaza,C,7
2015-11-02,22,728,Puyo,Pastaza,C,7
2015-11-03,22,958,Puyo,Pastaza,C,7
2015-11-04,22,816,Puyo,Pastaza,C,7
2015-11-05,22,691,Puyo,Pastaza,C,7
2015-11-06,22,709,Puyo,Pastaza,C,7
2015-11-07,22,947,Puyo,Pastaza,C,7
2015-11-08,22,960,Puyo,Pastaza,C,7
2015-11-09,22,699,Puyo,Pastaza,C,7
2015-11-10,22,654,Puyo,Pastaza,C,7
2015-11-11,22,661,Puyo,Pastaza,C,7
2015-11-12,22,569,Puyo,Pastaza,C,7
2015-11-13,22,652,Puyo,Pastaza,C,7
2015-11-14,22,748,Puyo,Pastaza,C,7
2015-11-15,22,775,Puyo,Pastaza,C,7
2015-11-16,22,667,Puyo,Pastaza,C,7
2015-11-17,22,573,Puyo,Pastaza,C,7
2015-11-18,22,603,Puyo,Pastaza,C,7
2015-11-19,22,584,Puyo,Pastaza,C,7
2015-11-20,22,578,Puyo,Pastaza,C,7
2015-11-21,22,748,Puyo,Pastaza,C,7
2015-11-22,22,741,Puyo,Pastaza,C,7
2015-11-23,22,688,Puyo,Pastaza,C,7
2015-11-24,22,597,Puyo,Pastaza,C,7
2015-11-25,22,528,Puyo,Pastaza,C,7
2015-11-26,22,517,Puyo,Pastaza,C,7
2015-11-27,22,537,Puyo,Pastaza,C,7
2015-11-28,22,716,Puyo,Pastaza,C,7
2015-11-29,22,756,Puyo,Pastaza,C,7
2015-11-30,22,646,Puyo,Pastaza,C,7
2015-12-01,22,668,Puyo,Pastaza,C,7
2015-12-02,22,720,Puyo,Pastaza,C,7
2015-12-03,22,670,Puyo,Pastaza,C,7
2015-12-04,22,630,Puyo,Pastaza,C,7
2015-12-05,22,774,Puyo,Pastaza,C,7
2015-12-06,22,815,Puyo,Pastaza,C,7
2015-12-07,22,703,Puyo,Pastaza,C,7
2015-12-08,22,668,Puyo,Pastaza,C,7
2015-12-09,22,620,Puyo,Pastaza,C,7
2015-12-10,22,698,Puyo,Pastaza,C,7
2015-12-11,22,699,Puyo,Pastaza,C,7
2015-12-12,22,733,Puyo,Pastaza,C,7
2015-12-13,22,847,Puyo,Pastaza,C,7
2015-12-14,22,723,Puyo,Pastaza,C,7
2015-12-15,22,707,Puyo,Pastaza,C,7
2015-12-16,22,738,Puyo,Pastaza,C,7
2015-12-17,22,753,Puyo,Pastaza,C,7
